Temporada,Fecha,Hora,Presion(hPa),Temp(Â°C)
Invierno,4082025,08:00,986.5,14.9
Invierno,4082025,10:00,987.5,16.5
Invierno,4082025,12:00,987,17.5
Invierno,4082025,14:00,986,18
Invierno,4082025,16:00,985.5,17.7
Invierno,4082025,18:00,986,16.3
Invierno,4082025,20:00,987,15.8
Invierno,4082025,22:00,987.5,15.6
Invierno,5082025,00:00,987.5,15.6
Invierno,5082025,02:00,987,15
Invierno,5082025,04:00,986.5,14.6
Invierno,5082025,06:00,987.5,14.4
Invierno,5082025,08:00,988.5,15
Invierno,5082025,10:00,989,17
Invierno,5082025,12:00,988,20
Invierno,5082025,14:00,986.5,18.6
Invierno,5082025,16:00,986,20.2
Invierno,5082025,18:00,986,16.4
Invierno,5082025,20:00,987,13.8
Invierno,5082025,22:00,988,14.7
Invierno,6082025,00:00,988.5,14.9
Invierno,6082025,02:00,988,14.9
Invierno,6082025,04:00,986.5,15
Invierno,6082025,06:00,988.5,14.6
Invierno,6082025,08:00,989.5,15.8
Invierno,6082025,10:00,989.5,17.3
Invierno,6082025,12:00,988.5,19.7
Invierno,6082025,14:00,987,20.5
Invierno,6082025,16:00,986.5,20.1
Invierno,6082025,18:00,987.5,16
Invierno,6082025,20:00,988.5,14.9
Invierno,6082025,22:00,989,15.3
Invierno,7082025,00:00,988.5,15
Invierno,7082025,02:00,987.5,14.8
Invierno,7082025,04:00,987,14.6
Invierno,7082025,06:00,987,14.8
Invierno,7082025,08:00,988.5,14.3
Invierno,7082025,10:00,989,15.3
Invierno,7082025,12:00,987.5,19.2
Invierno,7082025,14:00,987,20.2
Invierno,7082025,16:00,986.5,16.6
Invierno,7082025,18:00,987,15.1
Invierno,7082025,20:00,988,14.8
Invierno,7082025,22:00,988.5,14.7
Invierno,8082025,00:00,988,14.5
Invierno,8082025,02:00,987,14.1
Invierno,8082025,04:00,986.5,14
Invierno,8082025,06:00,987,13.9
Invierno,8082025,08:00,988,14.2
Invierno,8082025,10:00,988,15.5
Invierno,8082025,12:00,987,16.8
Invierno,8082025,14:00,986,16.6
Invierno,8082025,16:00,985,16.3
Invierno,8082025,18:00,985.5,15.8
Invierno,8082025,20:00,986,15.1
Invierno,8082025,22:00,986,14.8
Invierno,9082025,00:00,986.5,14.6
Invierno,9082025,02:00,986.5,14.1
Invierno,9082025,04:00,986.5,14.1
Invierno,9082025,06:00,987,13.9
Invierno,9082025,08:00,988,14.4
Invierno,9082025,10:00,988.5,16.3
Invierno,9082025,12:00,987,17.3
Invierno,9082025,14:00,986,18.5
Invierno,9082025,16:00,985,20.3
Invierno,9082025,18:00,985.5,15.7
Invierno,9082025,20:00,987,14
Invierno,9082025,22:00,987,14.3
Invierno,10082025,00:00,986.5,14.1
Invierno,10082025,02:00,986.5,14.3
Invierno,10082025,04:00,986,14.2
Invierno,10082025,06:00,986.5,14.1
Invierno,10082025,08:00,987.5,14.7
Invierno,10082025,10:00,987.5,15.5
Invierno,10082025,12:00,986,19.8
Invierno,10082025,14:00,985,21.6
Invierno,10082025,16:00,984,19.8
Invierno,10082025,18:00,984.5,16.1
Invierno,10082025,20:00,985.5,15.4
Invierno,10082025,22:00,985.5,15
Invierno,11082025,00:00,985,14.8
Verano,27012025,08:00,983.5,23.8
Verano,27012025,10:00,983,26.9
Verano,27012025,12:00,982.5,28.5
Verano,27012025,14:00,981.5,29.5
Verano,27012025,16:00,981,25.6
Verano,27012025,18:00,981,25.7
Verano,27012025,20:00,982,22.1
Verano,27012025,22:00,983,21.6
Verano,28012025,00:00,982.5,21.3
Verano,28012025,02:00,982,20.3
Verano,28012025,04:00,981.5,20.3
Verano,28012025,06:00,982.5,20.5
Verano,28012025,08:00,983.5,24.6
Verano,28012025,10:00,984,27.3
Verano,28012025,12:00,983,29.3
Verano,28012025,14:00,982,28.7
Verano,28012025,16:00,981.5,28.8
Verano,28012025,18:00,982.5,25
Verano,28012025,20:00,984,23.2
Verano,28012025,22:00,984,22.3
Verano,29012025,00:00,983.5,21.8
Verano,29012025,02:00,982.5,21.5
Verano,29012025,04:00,982.5,21
Verano,29012025,06:00,983.5,19.7
Verano,29012025,08:00,984,25.4
Verano,29012025,10:00,984.5,29
Verano,29012025,12:00,984,29.2
Verano,29012025,14:00,983.5,29.7
Verano,29012025,16:00,983,29.3
Verano,29012025,18:00,983,26
Verano,29012025,20:00,984,22.4
Verano,29012025,22:00,984.5,21.5
Verano,30012025,00:00,984,20.2
Verano,30012025,02:00,983,19.7
Verano,30012025,04:00,982.5,19.1
Verano,30012025,06:00,983,18.4
Verano,30012025,08:00,983.5,24.1
Verano,30012025,10:00,983,28.6
Verano,30012025,12:00,983,28.7
Verano,30012025,14:00,982,29.4
Verano,30012025,16:00,981.5,29
Verano,30012025,18:00,982,25.7
Verano,30012025,20:00,983,22.1
Verano,30012025,22:00,983.5,21.5
Verano,31012025,00:00,983,20.6
Verano,31012025,02:00,982,19.5
Verano,31012025,04:00,981.5,19
Verano,31012025,06:00,982.5,19
Verano,31012025,08:00,983,22.2
Verano,31012025,10:00,983,24.2
Verano,31012025,12:00,982,27.2
Verano,31012025,14:00,981,28.5
Verano,31012025,16:00,980.5,26.1
Verano,31012025,18:00,981,23.2
Verano,31012025,20:00,982,21.2
Verano,31012025,22:00,983,20.5
Verano,1012025,00:00,982.5,20.3
Verano,1022025,02:00,982,19.8
Verano,1022025,04:00,982,19.8
Verano,1022025,06:00,983.5,19.5
Verano,1022025,08:00,984.5,21.6
Verano,1022025,10:00,985,24.3
Verano,1022025,12:00,983.5,27
Verano,1022025,14:00,982,27.5
Verano,1022025,16:00,981.5,25.5
Verano,1022025,18:00,982,25.9
Verano,1022025,20:00,982.5,23.3
Verano,1022025,22:00,983.5,22.3
Verano,2022025,00:00,983,21.5
Verano,2022025,02:00,982,20.8
Verano,2022025,04:00,982,20.4
Verano,2022025,06:00,983,20.6
Verano,2022025,08:00,983.5,23.6
Verano,2022025,10:00,983.5,25.6
Verano,2022025,12:00,983,26.8
Verano,2022025,14:00,981.5,28.8
Verano,2022025,16:00,981,26.9
Verano,2022025,18:00,981,23.6
Verano,2022025,20:00,982,22.3
Verano,2022025,22:00,982.5,23.1
Verano,3022025,00:00,982,21.5
